HS - Combined  Product Code,HS - Combined  Product Description,CPC Product Code,CPC Product Description
010110,(2002-) Purebred breeding animals,02113,"Horses, asses, mules and hinnies, live"
010111,(-2001) Horses :-- Pure-bred breeding animals,02113,"Horses, asses, mules and hinnies, live"
010119,(-2001) Horses :-- Other,02113,"Horses, asses, mules and hinnies, live"
010120,"(-2001) Asses, mules and hinnies",02113,"Horses, asses, mules and hinnies, live"
010190,(2002-) Other,02113,"Horses, asses, mules and hinnies, live"
010210,Purebred breeding animals,02111,"Bovine cattle, live"
010290,Other,02111,"Bovine cattle, live"
010310,Purebred breeding animals,02121,"Swine, live"
010391,Weighing less than 50 kg,02121,"Swine, live"
010392,Weighing 50 kg or more,02121,"Swine, live"
010410,Sheep,02112,"Sheep and goats, live"
010420,Goats,02112,"Sheep and goats, live"
010511,Fowls of the species Gallus domesticus,02122,"Poultry, live"
010512,(1996-) Turkeys,02122,"Poultry, live"
010519,Other,02122,"Poultry, live"
010591,(-1995) Live fowls of species Gallus domesticus (c,02122,"Poultry, live"
010592,"(1996-2006) Fowls of the species Gallus domesticus, weighing not more than 2,000 g",02122,"Poultry, live"
010593,"(1996-2006) Fowls of the species Gallus domesticus, weighing more than 2,000 g",02122,"Poultry, live"
010599,Other,02122,"Poultry, live"
010600,(-2001) Other live animals.,02129,Other live animals
010611,(2002-) Primates,02129,Other live animals
010612,"(2002-) Whales, dolphins and porpoises (mammals of the order       Cetacea); manatees and dugongs (mammals of the order  Sirenia)",02129,Other live animals
010619,(2002-) Other,02129,Other live animals
010620,(2002-) Reptiles (including snakes and turtles),02129,Other live animals
010631,(2002-) Birds of prey,02129,Other live animals
010632,"(2002-) Psittaciformes (including parrots, parakeets, macaws and cockatoos)",02129,Other live animals
010639,(2002-) Other,02129,Other live animals
010690,(2002-) Other,02129,Other live animals
020110,Carcasses and halfcarcasses,21111,"Meat of bovine animals, fresh or chilled"
020120,Other cuts with bone in,21111,"Meat of bovine animals, fresh or chilled"
020130,Boneless,21111,"Meat of bovine animals, fresh or chilled"
020210,Carcasses and halfcarcasses,21112,"Meat of bovine animals, frozen"
020220,Other cuts with bone in,21112,"Meat of bovine animals, frozen"
020230,Boneless,21112,"Meat of bovine animals, frozen"
020311,Carcasses and halfcarcasses,21113,"Meat of swine, fresh or chilled"
020312,"Hams, shoulders and cuts thereof, with bone in",21113,"Meat of swine, fresh or chilled"
020319,Other,21113,"Meat of swine, fresh or chilled"
020321,Carcasses and halfcarcasses,21114,"Meat of swine, frozen"
020322,"Hams, shoulders and cuts thereof, with bone in",21114,"Meat of swine, frozen"
020329,Other,21114,"Meat of swine, frozen"
020410,"Carcasses and halfcarcasses of lamb, fresh or chilled",21115,"Meat of sheep, fresh or chilled"
020421,Carcasses and halfcarcasses,21115,"Meat of sheep, fresh or chilled"
020422,Other cuts with bone in,21115,"Meat of sheep, fresh or chilled"
020423,Boneless,21115,"Meat of sheep, fresh or chilled"
020430,"Carcasses and halfcarcasses of lamb, frozen",21116,"Meat of sheep, frozen"
020441,Carcasses and halfcarcasses,21116,"Meat of sheep, frozen"
020442,Other cuts with bone in,21116,"Meat of sheep, frozen"
020443,Boneless,21116,"Meat of sheep, frozen"
020450,Meat of goats,21117,"Meat of goats, fresh, chilled or frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",21118,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
020610,"Of bovine animals, fresh or chilled",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020621,Tongues,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020622,Livers,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020629,Other,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020630,"Of swine, fresh or chilled",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020641,Livers,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020649,Other,21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020680,"Other, fresh or chilled",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020690,"Other, frozen",21119,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or"
020710,(-1995) Fresh or chilled whole poultry,21121,"Meat and edible offal of poultry, fresh or chilled"
020711,"(1996-) Not cut in pieces, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020712,"(1996-) Not cut in pieces, frozen",21122,"Meat and edible offal of poultry, frozen"
020713,"(1996-) Cuts and offal, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020714,"(1996-) Cuts and offal, frozen",21122,"Meat and edible offal of poultry, frozen"
020721,(-1995) Frozen whole chickens,21122,"Meat and edible offal of poultry, frozen"
020722,(-1995) Frozen whole turkeys,21122,"Meat and edible offal of poultry, frozen"
020723,"(-1995) Frozen whole ducks, geese and guinea fowls",21122,"Meat and edible offal of poultry, frozen"
020724,"(1996-) Not cut in pieces, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020725,"(1996-) Not cut in pieces, frozen",21122,"Meat and edible offal of poultry, frozen"
020726,"(1996-) Cuts and offal, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020727,"(1996-) Cuts and offal, frozen",21122,"Meat and edible offal of poultry, frozen"
020731,(-1995) Fresh or chilled fatty livers of geese or ,21121,"Meat and edible offal of poultry, fresh or chilled"
020732,"(1996-) Not cut in pieces, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020733,"(1996-) Not cut in pieces, frozen",21122,"Meat and edible offal of poultry, frozen"
020734,"(1996-) Fatty livers, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020735,"(1996-) Other, fresh or chilled",21121,"Meat and edible offal of poultry, fresh or chilled"
020736,"(1996-) Other, frozen",21122,"Meat and edible offal of poultry, frozen"
020739,(-1995) Fresh or chilled poultry cuts and offal (e,21121,"Meat and edible offal of poultry, fresh or chilled"
020741,(-1995) Frozen cuts and offal of chicken (excl. li,21122,"Meat and edible offal of poultry, frozen"
